id,posicion,tank,tratamiento,pool,clutch,smetamorf,dmetamorf
25,35,II,TEMP-1,A,A,4,27
61,9,I,TEMP-1,C,C,3,27
64,9,I,TEMP-1,C,C,3,27
69,26,Z,TEMP-1,C,C,4,27
80,16,P,TEMP-1,C,C,3,27
86,34,HH,TEMP-1,C,C,3,27
87,34,HH,TEMP-1,C,C,3,27
62,9,I,TEMP-1,C,C,4,28
63,9,I,TEMP-1,C,C,4,29
85,34,HH,TEMP-1,C,C,4,29
117,8,H,TEMP-1,B,B,4,29
28,35,II,TEMP-1,A,A,4,30
1,7,G,TEMP-1,A,A,4,31
2,7,G,TEMP-1,A,A,4,31
3,7,G,TEMP-1,A,A,4,31
4,7,G,TEMP-1,A,A,4,31
141,18,R,TEMP-1,B,B,4,31
142,18,R,TEMP-1,B,B,4,31
143,18,R,TEMP-1,B,B,4,31
144,18,R,TEMP-1,B,B,4,31
20,27,AA,TEMP-1,A,A,4,32
118,8,H,TEMP-1,B,B,4,33
119,8,H,TEMP-1,B,B,4,33
120,8,H,TEMP-1,B,B,4,33
19,27,AA,TEMP-1,A,A,4,35
10,17,Q,TEMP-1,A,A,4,36
11,17,Q,TEMP-1,A,A,4,36
12,17,Q,TEMP-1,A,A,4,36
18,27,AA,TEMP-1,A,A,4,36
71,26,Z,TEMP-1,C,C,4,36
72,26,Z,TEMP-1,C,C,4,36
77,16,P,TEMP-1,C,C,4,36
78,16,P,TEMP-1,C,C,4,36
103,36,JJ,TEMP-1,B,B,4,36
104,36,JJ,TEMP-1,B,B,4,36
109,25,Y,TEMP-1,B,B,4,36
110,25,Y,TEMP-1,B,B,4,36
111,25,Y,TEMP-1,B,B,4,36
9,17,Q,TEMP-1,A,A,4,38
17,27,AA,TEMP-1,A,A,4,38
26,35,II,TEMP-1,A,A,4,38
27,35,II,TEMP-1,A,A,4,38
70,26,Z,TEMP-1,C,C,4,38
79,16,P,TEMP-1,C,C,4,38
101,36,JJ,TEMP-1,B,B,4,38
102,36,JJ,TEMP-1,B,B,4,38
81,32,FF,TEMP-2,A,A,2,19
133,23,W,TEMP-2,B,B,2,20
29,22,V,TEMP-2,C,C,3,21
30,22,V,TEMP-2,C,C,3,21
31,22,V,TEMP-2,C,C,3,21
46,1,A,TEMP-2,C,C,3,21
67,4,D,TEMP-2,A,A,3,21
83,32,FF,TEMP-2,A,A,3,21
130,13,M,TEMP-2,B,B,3,21
134,23,W,TEMP-2,B,B,3,21
13,15,O,TEMP-2,C,C,3,22
14,15,O,TEMP-2,C,C,3,22
15,15,O,TEMP-2,C,C,3,22
16,15,O,TEMP-2,C,C,3,22
41,10,J,TEMP-2,A,A,3,22
42,10,J,TEMP-2,A,A,3,22
43,10,J,TEMP-2,A,A,3,22
44,10,J,TEMP-2,A,A,3,22
45,1,A,TEMP-2,C,C,3,22
47,1,A,TEMP-2,C,C,3,22
48,1,A,TEMP-2,C,C,3,22
82,32,FF,TEMP-2,A,A,3,22
84,32,FF,TEMP-2,A,A,3,22
93,29,CC,TEMP-2,C,C,3,22
94,29,CC,TEMP-2,C,C,3,22
95,29,CC,TEMP-2,C,C,3,22
129,13,M,TEMP-2,B,B,3,22
131,13,M,TEMP-2,B,B,3,22
135,23,W,TEMP-2,B,B,3,22
136,23,W,TEMP-2,B,B,3,22
51,20,T,TEMP-2,A,A,3,23
65,4,D,TEMP-2,A,A,3,23
66,4,D,TEMP-2,A,A,3,23
52,20,T,TEMP-2,A,A,3,24
96,29,CC,TEMP-2,C,C,3,24
121,28,BB,TEMP-2,B,B,3,24
122,28,BB,TEMP-2,B,B,3,24
124,28,BB,TEMP-2,B,B,3,24
97,3,C,TEMP-2,B,B,3,25
100,3,C,TEMP-2,B,B,3,25
123,28,BB,TEMP-2,B,B,3,26
49,20,T,TEMP-2,A,A,3,27
50,20,T,TEMP-2,A,A,3,27
98,3,C,TEMP-2,B,B,3,27
99,3,C,TEMP-2,B,B,3,27
5,33,GG,TEMP-3,C,C,2,13
37,12,L,TEMP-3,C,C,2,13
105,11,K,TEMP-3,B,B,2,13
106,11,K,TEMP-3,B,B,2,13
108,11,K,TEMP-3,B,B,2,13
7,33,GG,TEMP-3,C,C,2,14
22,5,E,TEMP-3,C,C,2,14
35,2,B,TEMP-3,A,A,2,14
53,19,S,TEMP-3,C,C,2,14
55,19,S,TEMP-3,C,C,2,14
89,24,X,TEMP-3,A,A,2,14
6,33,GG,TEMP-3,C,C,2,15
8,33,GG,TEMP-3,C,C,2,15
21,5,E,TEMP-3,C,C,2,15
23,5,E,TEMP-3,C,C,2,15
33,2,B,TEMP-3,A,A,2,15
34,2,B,TEMP-3,A,A,2,15
36,2,B,TEMP-3,A,A,2,15
40,12,L,TEMP-3,C,C,2,15
54,19,S,TEMP-3,C,C,2,15
73,14,N,TEMP-3,A,A,2,15
74,14,N,TEMP-3,A,A,2,15
107,11,K,TEMP-3,B,B,2,15
139,6,F,TEMP-3,B,B,2,15
138,6,F,TEMP-3,B,B,2,16
38,12,L,TEMP-3,C,C,2,17
39,12,L,TEMP-3,C,C,2,17
56,19,S,TEMP-3,C,C,2,17
57,30,DD,TEMP-3,A,A,3,17
75,14,N,TEMP-3,A,A,2,17
76,14,N,TEMP-3,A,A,2,17
90,24,X,TEMP-3,A,A,2,17
91,24,X,TEMP-3,A,A,2,17
113,21,U,TEMP-3,B,B,2,17
137,6,F,TEMP-3,B,B,2,17
58,30,DD,TEMP-3,A,A,2,18
125,31,EE,TEMP-3,B,B,2,18
126,31,EE,TEMP-3,B,B,2,18
114,21,U,TEMP-3,B,B,3,21
127,31,EE,TEMP-3,B,B,3,21
59,30,DD,TEMP-3,A,A,2,21
60,30,DD,TEMP-3,A,A,2,21
